datetime,Latitude,Longitude,Depth,Magnitude
2011-03-13 09:52:31,38.849,141.858,33.0,5.6
2011-03-13 11:37:30,37.348,142.394,17.0,5.7
2011-03-13 17:55:22,35.152,141.1,9.6,5.6
2011-03-14 01:02:39,36.408,140.894,11.0,5.5
2011-03-14 06:12:36,37.785,142.456,14.0,6.0
2011-03-14 17:59:41,37.206,142.245,20.3,5.6
2011-03-15 09:49:53,37.367,142.301,8.0,5.8
2011-03-15 11:46:21,40.419,142.959,35.3,5.5
2011-03-15 13:27:57,37.576,142.237,28.0,6.0
2011-03-15 13:31:46,35.272,138.582,9.0,6.0
2011-03-15 15:23:54,40.335,143.288,18.0,6.1
2011-03-15 20:30:00,35.209,140.994,19.4,5.7
2011-03-16 03:52:03,35.747,140.71,10.0,5.7
2011-03-16 06:29:03,39.887,142.019,36.0,5.7
2011-03-16 22:36:16,-32.564,-71.726,32.7,5.5
2011-03-17 02:48:00,-17.275,167.826,17.0,6.2
2011-03-17 04:13:57,40.136,142.168,29.0,6.2
2011-03-17 06:12:42,37.709,143.443,16.5,5.6
2011-03-17 08:03:01,-17.266,167.899,10.0,5.8
2011-03-17 12:32:05,35.496,140.763,35.8,5.5
2011-03-17 12:54:53,36.757,141.202,29.0,5.8
2011-03-17 18:55:37,37.125,142.335,26.0,5.5
2011-03-18 03:23:54,37.759,143.488,6.4,5.5
2011-03-18 23:33:01,39.161,142.23,41.6,5.5
2011-03-19 01:22:45,39.696,142.904,15.0,5.9
2011-03-19 09:56:48,36.796,140.268,6.0,5.7
2011-03-20 05:55:31,37.724,141.363,57.1,5.6
2011-03-20 08:26:10,18.994,121.246,27.0,6.0
2011-03-20 12:03:47,39.35,141.824,42.0,5.8
2011-03-20 15:20:28,-31.129,-179.823,321.0,5.7
2011-03-21 09:49:02,36.491,70.927,190.2,5.8
2011-03-21 10:36:50,13.915,120.566,101.8,5.5
2011-03-22 03:38:36,35.205,140.997,20.0,5.7
2011-03-22 07:18:45,37.244,144.003,11.0,6.4
2011-03-22 09:19:06,37.325,141.791,31.0,6.1
2011-03-22 09:44:29,39.851,143.437,13.0,6.4
2011-03-22 11:21:39,39.733,143.113,30.9,5.6
2011-03-22 12:01:22,36.866,143.188,10.0,5.6
2011-03-22 12:04:09,36.289,141.404,45.0,5.7
2011-03-22 13:31:28,-33.096,-15.977,5.0,5.8
2011-03-22 13:50:52,35.795,141.549,20.0,5.9
2011-03-22 15:03:47,35.787,141.567,19.0,5.6
2011-03-22 22:12:32,37.065,140.638,18.0,5.5
2011-03-22 22:13:57,37.014,140.679,40.7,5.5
2011-03-22 22:35:01,37.111,140.58,37.5,5.5
2011-03-24 08:21:00,39.079,142.084,27.0,5.8
2011-03-24 13:55:12,20.687,99.822,8.0,6.9
2011-03-24 15:54:35,20.65,99.77,10.0,5.7
2011-03-25 11:36:24,38.772,141.88,39.0,6.2
2011-03-26 22:49:41,-15.848,-179.405,6.0,6.0
2011-03-27 06:20:56,14.374,-92.347,35.0,5.6
2011-03-27 22:23:59,38.415,142.011,19.0,6.2
2011-03-29 10:54:33,37.401,142.29,15.0,6.1
2011-03-29 16:35:49,39.591,143.455,25.3,5.5
2011-03-30 05:29:53,36.143,142.464,11.0,5.7
2011-03-31 00:11:58,-16.541,-177.517,15.5,6.3
2011-03-31 07:15:30,38.922,141.821,42.0,6.0
2011-04-01 11:57:54,39.323,141.95,41.0,5.9
2011-04-01 13:29:11,35.662,26.56,59.9,6.0
2011-04-01 17:03:46,40.282,143.209,20.5,5.5
2011-04-02 06:05:01,-5.574,153.964,55.0,5.5
2011-04-02 10:59:40,-19.543,-69.014,110.0,5.9
2011-04-03 14:07:09,-17.642,-178.585,551.7,6.4
2011-04-03 20:06:40,-9.848,107.693,14.0,6.7
2011-04-05 04:10:07,-17.662,-178.595,552.4,5.8
2011-04-05 11:14:15,3.029,126.94,20.0,5.9
2011-04-06 14:01:43,1.612,97.086,20.0,6.0
2011-04-07 13:11:22,17.208,-94.338,166.2,6.6
2011-04-07 14:32:43,38.276,141.588,42.0,7.1
2011-04-07 20:41:51,17.107,-85.078,7.0,5.8
2011-04-09 12:57:48,29.999,131.78,11.0,5.9
2011-04-11 08:16:13,37.001,140.401,11.0,6.6
2011-04-11 08:16:51,37.791,140.812,10.0,5.8
2011-04-11 11:42:35,36.98,140.356,10.0,5.5
2011-04-11 22:26:20,36.809,138.284,17.1,5.5
2011-04-11 23:08:17,35.417,140.575,15.0,6.2
2011-04-12 05:07:42,37.107,140.368,11.0,5.9
2011-04-12 19:37:48,39.368,141.895,45.0,5.6
2011-04-13 19:57:25,39.583,143.34,22.0,6.0
2011-04-13 20:32:21,39.619,143.191,18.5,5.5
2011-04-14 05:45:17,-33.049,-178.526,18.6,5.5
2011-04-14 06:08:47,35.56,141.881,10.0,5.7
2011-04-14 20:50:15,11.237,-86.337,22.0,5.7
